Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,13-11-2018,296.2,296,304,290.3,296.45,297.55,294.85,3891168,1147300123,70834,1387838,35.67
BHARTIARTL,EQ,14-11-2018,297.55,300,311.8,298,301.15,301.3,304.82,4883558,1488600275,55151,1307303,26.77
BHARTIARTL,EQ,15-11-2018,301.3,301.3,306.7,298,301.8,304.4,304.26,4050154,1232288608,31248,1850762,45.7
BHARTIARTL,EQ,16-11-2018,304.4,302.9,336.8,302,332.1,332.75,324.02,22573096,7314208586,217149,8289090,36.72
BHARTIARTL,EQ,19-11-2018,332.75,329.4,338.9,319,337,336.85,330.59,11772584,3891864185,106558,1655487,14.06
BHARTIARTL,EQ,20-11-2018,336.85,333.1,339.45,328.3,329.85,331.95,335.22,10734672,3598472726,85244,4479293,41.73
BHARTIARTL,EQ,21-11-2018,331.95,331,339.45,330.15,333.4,332.7,334.39,8477936,2834896803,82487,4040834,47.66
BHARTIARTL,EQ,22-11-2018,332.7,331.9,339.8,321.4,328.4,327.85,329.2,8925992,2938469155,83300,947646,10.62
BHARTIARTL,EQ,26-11-2018,327.85,328.05,338.9,328.05,335.6,334.55,335.29,5969802,2001605833,81060,984266,16.49
BHARTIARTL,EQ,27-11-2018,334.55,333.9,335.9,324.1,326.55,328.15,329.54,6970751,2297137225,85564,2161492,31.01
BHARTIARTL,EQ,28-11-2018,328.15,332,332.8,311,316,314.1,322.36,9175591,2957821840,81295,2596593,28.3
BHARTIARTL,EQ,29-11-2018,314.1,321,322,312,322,317.2,315.72,8307218,2622794894,58702,3938005,47.4
BHARTIARTL,EQ,30-11-2018,317.2,319,324.3,310.7,315,313.5,317.01,5944313,1884392540,62388,1550654,26.09
BHARTIARTL,EQ,03-12-2018,313.5,316.5,321,314.5,320.5,319.75,318.25,3036001,966193623,25007,472655,15.57
BHARTIARTL,EQ,04-12-2018,319.75,321,323.5,310.25,322,318.55,316.08,6449992,2038698447,53667,1564243,24.25
BHARTIARTL,EQ,05-12-2018,318.55,319.7,320.85,310.2,311.85,312.8,314.59,4530938,1425395265,52230,787082,17.37
BHARTIARTL,EQ,06-12-2018,312.8,311,311,302,304.05,304,305.66,5918098,1808943082,77975,1703991,28.79
BHARTIARTL,EQ,07-12-2018,304,305,307.8,298.95,305,303.95,303.81,4775658,1450907492,67970,1224954,25.65
BHARTIARTL,EQ,10-12-2018,303.95,298.45,301.65,290.85,292,294.95,296.51,5181119,1536254956,79804,1974962,38.12
BHARTIARTL,EQ,11-12-2018,294.95,288,294.4,282,290.2,290.25,289.74,9007497,2609809948,100106,3315856,36.81
BHARTIARTL,EQ,12-12-2018,290.25,294,311,291.5,311,305.55,301.02,9282794,2794285644,91662,2440895,26.29
BHARTIARTL,EQ,13-12-2018,305.55,308.5,312.85,301.55,302.9,303.1,306.32,6909651,2116584442,84141,1444222,20.9
BHARTIARTL,EQ,14-12-2018,303.1,305.2,333.4,305.2,319,319.25,317.82,20486283,6511035523,181332,2582987,12.61
BHARTIARTL,EQ,17-12-2018,319.25,319.25,323.2,312.8,313.8,315.2,317.71,6136693,1949682581,64392,592220,9.65
BHARTIARTL,EQ,18-12-2018,315.2,314.2,320.7,311.6,317.25,317.8,316.13,5653153,1787151930,49673,912506,16.14
BHARTIARTL,EQ,19-12-2018,317.8,319.5,324,318.05,322.55,322.7,321.02,5217959,1675067554,56233,1741896,33.38
BHARTIARTL,EQ,20-12-2018,322.7,317,321.55,314,315.85,316.55,317.07,5396352,1711031999,56595,1564820,29
BHARTIARTL,EQ,21-12-2018,316.55,320,324.75,305.6,307.5,307.9,314.65,11143116,3506140906,104956,1928461,17.31
BHARTIARTL,EQ,24-12-2018,307.9,309.8,312.3,304.25,309.9,309.1,307.98,4709660,1450503602,61283,882187,18.73
BHARTIARTL,EQ,26-12-2018,309.1,308.2,323,302.6,321.5,320.45,311.08,7540970,2345829539,68999,1979069,26.24
BHARTIARTL,EQ,27-12-2018,320.45,323.2,323.7,314,316.05,316.7,317.52,7899279,2508176350,62214,2419234,30.63
BHARTIARTL,EQ,28-12-2018,316.7,316.9,321,314.5,316.1,316.55,318.34,4672856,1487552906,42075,1368290,29.28
BHARTIARTL,EQ,31-12-2018,316.55,319,320.9,311.1,312.3,312.5,315.49,3795043,1197298522,41555,677333,17.85
BHARTIARTL,EQ,01-01-2019,312.5,315.95,322,313.3,321.85,319.5,316.4,5513123,1744358711,39291,528285,9.58
BHARTIARTL,EQ,02-01-2019,319.5,316.9,321,309.1,312.5,312.65,314.25,5604911,1761349535,50316,875836,15.63
BHARTIARTL,EQ,03-01-2019,312.65,312.5,315.5,307.95,313,313.5,311.27,5615566,1747945502,65348,1145235,20.39
BHARTIARTL,EQ,04-01-2019,313.5,312.45,324.7,312.45,322,322.45,320.11,10239262,3277681503,127906,2745517,26.81
BHARTIARTL,EQ,07-01-2019,322.45,324.4,327.9,322.1,324.75,324.95,324.8,4966909,1613266648,57205,1367752,27.54
BHARTIARTL,EQ,08-01-2019,324.95,323.75,331.75,323.25,328,329.25,328.66,6484522,2131210693,67314,1691938,26.09
BHARTIARTL,EQ,09-01-2019,329.25,333.2,337.9,327.3,333.2,334.5,332.55,7226454,2403151819,75786,1584699,21.93
BHARTIARTL,EQ,10-01-2019,334.5,336.55,338.65,332.4,337,337.3,335.31,5180570,1737089360,75550,2064352,39.85
BHARTIARTL,EQ,11-01-2019,337.3,337.15,337.3,329,333.8,335.1,333.13,5337767,1778157435,42969,1004830,18.82
BHARTIARTL,EQ,14-01-2019,335.1,334.1,334.8,328.15,330,331.6,330.74,3311854,1095361342,48796,949040,28.66
BHARTIARTL,EQ,15-01-2019,331.6,330,339.35,326.5,338,337.75,332.71,5143387,1711244779,47529,1010690,19.65
BHARTIARTL,EQ,16-01-2019,337.75,336.75,345.25,331.4,332.45,333.95,338.82,6944533,2352913401,62070,1446625,20.83
BHARTIARTL,EQ,17-01-2019,333.95,333,336.75,330.2,331.15,332.05,332.79,4118364,1370557152,45229,722242,17.54
BHARTIARTL,EQ,18-01-2019,332.05,330.5,332.45,304.3,310.55,311.15,314.69,14744448,4639895655,120217,3374873,22.89
BHARTIARTL,EQ,21-01-2019,311.15,310.7,315.5,306,309.45,311.35,311.46,7769963,2420053641,73309,1976352,25.44
BHARTIARTL,EQ,22-01-2019,311.35,312,312.1,301.55,304.45,304.85,306.14,7904590,2419884255,68507,3757963,47.54
BHARTIARTL,EQ,23-01-2019,304.85,306.8,307.4,302.3,303.1,303.7,304.62,5063257,1542345676,58831,1937743,38.27
BHARTIARTL,EQ,24-01-2019,303.7,306.7,307.8,294.5,301.65,301.65,302.05,9363696,2828263625,90576,3223136,34.42
BHARTIARTL,EQ,25-01-2019,301.65,304,312,302,305.5,307.5,306.91,5443641,1670714384,59721,1266578,23.27
BHARTIARTL,EQ,28-01-2019,307.5,308,309.35,294.7,306.5,305.15,303.72,4097172,1244378613,55954,973570,23.76
